CustomerID,Name,Age,Gender,Geography,Native_Place,Marital_Status,Tenure,Account_Type,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Monthly_Income,CreditScore,Loan_Status,EMI_Amount,Exited,Branch_Code,Account_Open_Date,Last_Transaction_Date,Customer_Review,Review_Sentiment,Sentiment_Score
CID000001,Sunita Sharma,21,Other,Tamil Nadu,Hyderabad,Married,4,Current,676699.49,1,1,0,253634.99,21136.25,523,Auto,4238.57,0,BR072,2024-03-10,2024-06-23,Reasonable fees 💲,Neutral,0.7338849306106567
CID000002,Amit Kumar,53,Male,Karnataka,Pune,Divorced,8,Premium,215313.76,3,0,0,883869.14,73655.76,667,Business,30226.31,0,BR094,2020-02-26,2024-08-20,Professional staff 🌟,Positive,0.9108184576034546
CID000003,Rohan Gupta,55,Other,West Bengal,Lucknow,Married,2,Savings,661263.32,3,0,0,1759670.6,146639.22,689,Education,43308.58,0,BR021,2024-04-07,2024-11-21,Great mobile app 🥰,Positive,0.9832854866981506
CID000004,Sunita Iyer,27,Other,Karnataka,Jaipur,Married,5,NRI,379455.44,2,1,0,612286.53,51023.88,332,Business,19905.26,0,BR028,2022-02-15,2024-12-11,Professional staff 🌟,Positive,0.9108184576034546
CID000005,Priya Iyer,76,Male,Tamil Nadu,Bangalore,Married,17,Senior Citizen,747013.81,4,1,1,594777.37,49564.78,441,Multiple,27711.22,0,BR015,2021-11-16,2024-07-04,Professional staff 🌟,Positive,0.9108184576034546
CID000006,Rahul Sharma,67,Female,Rajasthan,Jaipur,Divorced,17,Savings,680283.41,1,1,1,400793.91,33399.49,745,Home,13205.24,0,BR065,2021-04-19,2024-09-04,Long waits ⏲️,Negative,0.6278406381607056
CID000007,Ananya Iyer,82,Other,Telangana,Bangalore,Divorced,5,Savings,598944.58,4,0,0,1872377.51,156031.46,614,Auto,24308.53,1,BR011,2024-10-28,2024-09-15,Rude staff 😡,Negative,0.9344054460525513
CID000008,Ananya Verma,34,Other,Rajasthan,Jaipur,Married,8,Salary,964362.91,2,1,1,1991268.84,165939.07,682,Multiple,106194.6,0,BR016,2022-07-11,2025-01-26,Excellent service! 😊,Positive,0.9848268032073975
CID000009,Rahul Gupta,47,Other,Telangana,Mumbai,Single,20,Savings,228941.78,1,1,0,1125481.02,93790.09,585,Multiple,53593.88,1,BR093,2005-07-07,2024-08-02,Too many fees 💸,Negative,0.7381492853164673
CID000010,Ananya Kumar,70,Male,Delhi,Delhi,Widowed,11,Salary,411102.28,1,0,0,924718.31,77059.86,647,Personal,17328.11,0,BR069,2020-04-10,2025-03-11,Great mobile app 🥰,Positive,0.9832854866981506
